Settlement Day,Settlement Period,BSUoS Price
10/01/2014,28,1.9163
10/01/2014,29,2.18686
10/01/2014,30,2.05698
10/01/2014,31,1.91119
10/01/2014,32,1.75825
10/01/2014,33,1.74052
10/01/2014,34,2.01513
10/01/2014,35,1.8782
10/01/2014,36,1.51729
10/01/2014,37,1.66539
10/01/2014,38,1.10479
10/01/2014,39,1.31623
10/01/2014,40,1.4925
10/01/2014,41,1.53048
10/01/2014,42,1.43276
10/01/2014,43,1.18237
10/01/2014,44,1.02479
10/01/2014,45,1.32946
10/01/2014,46,1.59815
10/01/2014,47,1.75243
10/01/2014,48,1.74333
11/01/2014,1,1.67548
11/01/2014,2,1.91826
11/01/2014,3,1.82232
11/01/2014,4,1.33376
11/01/2014,5,1.2275
11/01/2014,6,1.45267
11/01/2014,7,1.29699
11/01/2014,8,0.89999
11/01/2014,9,0.68214
11/01/2014,10,0.43088
11/01/2014,11,0.2594
11/01/2014,12,0.42013
11/01/2014,13,0.80314
11/01/2014,14,0.44456
11/01/2014,15,0.72599
11/01/2014,16,0.79277
11/01/2014,17,1.1148
11/01/2014,18,1.28093
11/01/2014,19,1.13093
11/01/2014,20,1.28836
11/01/2014,21,1.64477
11/01/2014,22,1.61403
11/01/2014,23,1.29409
11/01/2014,24,1.23348
11/01/2014,25,1.05387
11/01/2014,26,0.61945
11/01/2014,27,0.51356
11/01/2014,28,0.00703
11/01/2014,29,0.09392
11/01/2014,30,0.18414
11/01/2014,31,0.08236
11/01/2014,32,0.11839
11/01/2014,33,0.8652
11/01/2014,34,1.94362
11/01/2014,35,3.03936
11/01/2014,36,3.12369
11/01/2014,37,2.83548
11/01/2014,38,2.41115
11/01/2014,39,2.12332
11/01/2014,40,1.62199
11/01/2014,41,1.49062
11/01/2014,42,1.44113
11/01/2014,43,1.42074
11/01/2014,44,1.47178
11/01/2014,45,1.11143
11/01/2014,46,1.4303
11/01/2014,47,1.51014
11/01/2014,48,1.31725
12/01/2014,1,1.22159
12/01/2014,2,1.10813
12/01/2014,3,1.48122
12/01/2014,4,1.37697
12/01/2014,5,1.30007
12/01/2014,6,1.45174
12/01/2014,7,1.54382
12/01/2014,8,1.32039
12/01/2014,9,1.37183
12/01/2014,10,1.28008
12/01/2014,11,1.00696
12/01/2014,12,1.48961
12/01/2014,13,1.33836
12/01/2014,14,1.2184
12/01/2014,15,1.43441
12/01/2014,16,1.46554
12/01/2014,17,1.51019
12/01/2014,18,1.4737
12/01/2014,19,1.4111
12/01/2014,20,1.6399
12/01/2014,21,1.25873
12/01/2014,22,1.41435
12/01/2014,23,1.51493
12/01/2014,24,2.04508
12/01/2014,25,3.26323
12/01/2014,26,3.97966
12/01/2014,27,4.02661
12/01/2014,28,4.11643
12/01/2014,29,4.25674
12/01/2014,30,3.54523
12/01/2014,31,3.37998
12/01/2014,32,3.24624
12/01/2014,33,3.93866
12/01/2014,34,3.79445
12/01/2014,35,3.55187
12/01/2014,36,2.64603
12/01/2014,37,2.53056
12/01/2014,38,1.70749
12/01/2014,39,1.90311
12/01/2014,40,1.96923
12/01/2014,41,1.78944
12/01/2014,42,1.72512
12/01/2014,43,1.57671
12/01/2014,44,1.19008
12/01/2014,45,1.30948
12/01/2014,46,0.69326
12/01/2014,47,1.3468
12/01/2014,48,1.433
13/01/2014,1,1.51579
13/01/2014,2,1.59973
13/01/2014,3,1.51052
13/01/2014,4,1.41135
13/01/2014,5,1.2825
13/01/2014,6,1.3508
13/01/2014,7,1.11457
13/01/2014,8,0.87411
13/01/2014,9,0.56811
13/01/2014,10,0.46327
13/01/2014,11,0.75351
13/01/2014,12,1.18036
13/01/2014,13,2.39541
13/01/2014,14,1.52685
13/01/2014,15,2.08287
13/01/2014,16,2.5156
13/01/2014,17,1.27932
13/01/2014,18,0.86273
13/01/2014,19,1.38287
13/01/2014,20,1.40442
13/01/2014,21,1.13486
13/01/2014,22,1.18854
13/01/2014,23,1.11487
13/01/2014,24,1.0234
13/01/2014,25,0.88658
13/01/2014,26,0.78856
13/01/2014,27,0.69869
13/01/2014,28,0.44967
13/01/2014,29,0.66045
13/01/2014,30,0.62925
13/01/2014,31,1.08859
13/01/2014,32,1.18463
13/01/2014,33,1.00783
13/01/2014,34,1.25703
13/01/2014,35,1.08879
