Date,Period,BSUoS
11/01/2017,5,4.25123
11/01/2017,6,4.2156
11/01/2017,7,4.34684
11/01/2017,8,4.04492
11/01/2017,9,4.58057
11/01/2017,10,4.76336
11/01/2017,11,5.30379
11/01/2017,12,5.60547
11/01/2017,13,5.47537
11/01/2017,14,5.37018
11/01/2017,15,5.47681
11/01/2017,16,4.74281
11/01/2017,17,3.59878
11/01/2017,18,3.06664
11/01/2017,19,2.90206
11/01/2017,20,2.65368
11/01/2017,21,2.29354
11/01/2017,22,2.40342
11/01/2017,23,2.53352
11/01/2017,24,2.83855
11/01/2017,25,2.79602
11/01/2017,26,2.66484
11/01/2017,27,2.46455
11/01/2017,28,2.59734
11/01/2017,29,2.89042
11/01/2017,30,3.0973
11/01/2017,31,2.97506
11/01/2017,32,3.23085
11/01/2017,33,4.63457
11/01/2017,34,5.18747
11/01/2017,35,5.88031
11/01/2017,36,5.63998
11/01/2017,37,5.40946
11/01/2017,38,5.11118
11/01/2017,39,4.37929
11/01/2017,40,3.71552
11/01/2017,41,3.45889
11/01/2017,42,3.60415
11/01/2017,43,2.83845
11/01/2017,44,2.85708
11/01/2017,45,3.64664
11/01/2017,46,3.75407
11/01/2017,47,5.37036
11/01/2017,48,5.59349
12/01/2017,1,5.18155
12/01/2017,2,5.53545
12/01/2017,3,5.44374
12/01/2017,4,5.25182
12/01/2017,5,5.01236
12/01/2017,6,4.98141
12/01/2017,7,4.8177
12/01/2017,8,4.28657
12/01/2017,9,4.40615
12/01/2017,10,4.147
12/01/2017,11,4.55634
12/01/2017,12,4.95793
12/01/2017,13,5.75415
12/01/2017,14,4.07255
12/01/2017,15,2.89838
12/01/2017,16,3.72719
12/01/2017,17,3.45076
12/01/2017,18,2.97174
12/01/2017,19,3.40187
12/01/2017,20,3.32657
12/01/2017,21,2.56831
12/01/2017,22,2.40554
12/01/2017,23,2.53632
12/01/2017,24,2.80637
12/01/2017,25,3.67209
12/01/2017,26,3.21862
12/01/2017,27,3.32932
12/01/2017,28,3.19157
12/01/2017,29,3.33711
12/01/2017,30,2.54768
12/01/2017,31,2.59636
12/01/2017,32,3.21677
12/01/2017,33,3.89081
12/01/2017,34,4.15464
12/01/2017,35,2.91011
12/01/2017,36,2.66203
12/01/2017,37,3.08997
12/01/2017,38,2.69327
12/01/2017,39,2.74705
12/01/2017,40,2.38543
12/01/2017,41,2.12062
12/01/2017,42,2.43692
12/01/2017,43,2.44315
12/01/2017,44,2.64611
12/01/2017,45,2.46597
12/01/2017,46,2.49798
12/01/2017,47,3.53988
12/01/2017,48,3.45519
13/01/2017,1,3.07001
13/01/2017,2,3.12772
13/01/2017,3,3.2839
13/01/2017,4,2.96289
13/01/2017,5,2.7909
13/01/2017,6,2.84641
13/01/2017,7,2.68928
13/01/2017,8,2.96722
13/01/2017,9,3.03051
13/01/2017,10,3.01074
13/01/2017,11,3.68636
13/01/2017,12,3.7798
13/01/2017,13,4.0207
13/01/2017,14,3.87606
13/01/2017,15,3.36773
13/01/2017,16,3.2621
13/01/2017,17,2.78717
13/01/2017,18,2.47059
13/01/2017,19,2.66302
13/01/2017,20,2.77098
13/01/2017,21,3.00955
13/01/2017,22,2.78769
13/01/2017,23,2.5886
13/01/2017,24,2.33868
13/01/2017,25,2.05727
13/01/2017,26,1.87396
13/01/2017,27,2.16783
13/01/2017,28,2.31874
13/01/2017,29,2.57066
13/01/2017,30,2.49774
13/01/2017,31,2.50392
13/01/2017,32,2.80722
13/01/2017,33,3.19531
13/01/2017,34,3.50798
13/01/2017,35,3.36558
13/01/2017,36,3.44266
13/01/2017,37,3.59057
13/01/2017,38,3.39122
13/01/2017,39,3.39594
13/01/2017,40,3.3524
13/01/2017,41,2.62579
13/01/2017,42,2.53453
13/01/2017,43,2.45616
13/01/2017,44,1.93301
13/01/2017,45,1.65142
13/01/2017,46,1.86234
13/01/2017,47,2.10006
13/01/2017,48,2.0705
14/01/2017,1,1.89358
14/01/2017,2,1.67265
14/01/2017,3,1.84643
14/01/2017,4,1.74287
14/01/2017,5,2.21194
14/01/2017,6,2.53324
14/01/2017,7,2.32131
14/01/2017,8,2.20476
14/01/2017,9,2.21923
14/01/2017,10,2.47154
14/01/2017,11,2.73435
14/01/2017,12,2.81174
14/01/2017,13,2.64853
14/01/2017,14,2.40709
14/01/2017,15,2.47465
14/01/2017,16,2.05403
14/01/2017,17,2.23151
14/01/2017,18,2.41737
14/01/2017,19,2.14835
